JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,16/06/2024,12:58:19,S,S,Overcast,30,12,Car,TRUE
Elm Avenue/Rabbit Road,16/06/2024,12:09:07,E,N,Overcast,30,30,Van,TRUE
Elm Avenue/Rabbit Road,16/06/2024,12:50:51,W,N,Overcast,30,21,Bicycle,FALSE
Hanley Highway/Westway,16/06/2024,12:38:12,SW,SW,Overcast,20,5,Buss,FALSE
Hanley Highway/Westway,16/06/2024,12:15:15,SW,NW,Overcast,20,15,Bicycle,FALSE
Elm Avenue/Rabbit Road,16/06/2024,13:41:23,N,E,Clear,30,31,Scooter,TRUE
Hanley Highway/Westway,16/06/2024,13:54:40,SW,NW,Clear,20,14,Scooter,TRUE
Hanley Highway/Westway,16/06/2024,13:07:07,SW,SW,Clear,20,11,Van,TRUE
Elm Avenue/Rabbit Road,16/06/2024,14:56:38,W,S,Clear,30,33,Buss,FALSE
Elm Avenue/Rabbit Road,16/06/2024,14:07:01,W,S,Clear,30,19,Buss,FALSE
Elm Avenue/Rabbit Road,16/06/2024,14:41:54,N,W,Clear,30,29,Van,FALSE
Hanley Highway/Westway,16/06/2024,14:13:58,NE,NE,Clear,20,23,Car,TRUE
Hanley Highway/Westway,16/06/2024,14:15:20,SE,NE,Clear,20,9,Bicycle,FALSE
Hanley Highway/Westway,16/06/2024,14:48:13,SW,NW,Clear,20,1,Motorcycle,FALSE
Elm Avenue/Rabbit Road,16/06/2024,15:11:51,W,N,Bright,30,23,Car,TRUE
Elm Avenue/Rabbit Road,16/06/2024,15:04:34,E,N,Bright,30,9,Car,FALSE
Hanley Highway/Westway,16/06/2024,15:53:25,SW,SW,Bright,20,20,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,16:49:38,E,S,Bright,30,26,Motorcycle,FALSE
Elm Avenue/Rabbit Road,16/06/2024,16:30:03,N,E,Bright,30,22,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,16:01:56,N,W,Bright,30,7,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,16:13:49,N,N,Bright,30,29,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,16:42:04,S,S,Bright,30,3,Motorcycle,FALSE
Elm Avenue/Rabbit Road,16/06/2024,16:10:23,S,W,Bright,30,3,Bicycle,TRUE
Hanley Highway/Westway,16/06/2024,16:19:07,NE,NW,Bright,20,8,Scooter,TRUE
Hanley Highway/Westway,16/06/2024,16:05:29,SW,SE,Bright,20,27,Car,TRUE
Elm Avenue/Rabbit Road,16/06/2024,17:48:50,S,E,Bright,30,25,Car,FALSE
Hanley Highway/Westway,16/06/2024,17:06:01,SE,NE,Bright,20,8,Car,FALSE
Hanley Highway/Westway,16/06/2024,17:14:25,NW,NW,Bright,20,4,Car,TRUE
Elm Avenue/Rabbit Road,16/06/2024,18:59:55,E,S,Clear,30,27,Car,FALSE
Hanley Highway/Westway,16/06/2024,18:51:29,SW,NW,Clear,20,17,Car,FALSE
Hanley Highway/Westway,16/06/2024,18:03:21,NW,SW,Clear,20,7,Bicycle,TRUE
Hanley Highway/Westway,16/06/2024,18:18:54,SE,SW,Clear,20,13,Truck,FALSE
Elm Avenue/Rabbit Road,16/06/2024,19:42:13,W,W,Clear,30,6,Car,TRUE
Hanley Highway/Westway,16/06/2024,19:18:16,NW,NW,Clear,20,24,Car,FALSE
Hanley Highway/Westway,16/06/2024,19:34:35,SW,NW,Clear,20,26,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,20:47:48,S,S,Clear,30,32,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,20:09:13,E,E,Clear,30,19,Van,FALSE
Elm Avenue/Rabbit Road,16/06/2024,20:24:16,N,W,Clear,30,22,Buss,FALSE
Hanley Highway/Westway,16/06/2024,20:36:49,SW,SE,Clear,20,4,Truck,FALSE
Hanley Highway/Westway,16/06/2024,20:52:21,SE,NE,Clear,20,1,Bicycle,FALSE
Hanley Highway/Westway,16/06/2024,20:31:02,SW,SW,Clear,20,25,Buss,FALSE
Elm Avenue/Rabbit Road,16/06/2024,21:11:22,N,N,Clear,30,21,Van,TRUE
Hanley Highway/Westway,16/06/2024,21:41:04,SW,SW,Clear,20,9,Buss,FALSE
Hanley Highway/Westway,16/06/2024,21:29:39,NW,NW,Clear,20,18,Buss,FALSE
Elm Avenue/Rabbit Road,16/06/2024,22:28:46,S,W,Overcast,30,29,Truck,FALSE
Elm Avenue/Rabbit Road,16/06/2024,22:02:06,W,W,Overcast,30,20,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,22:06:03,E,S,Overcast,30,32,Bicycle,FALSE
Hanley Highway/Westway,16/06/2024,22:44:02,SW,SW,Overcast,20,12,Truck,FALSE
Elm Avenue/Rabbit Road,16/06/2024,23:15:30,N,N,Overcast,30,26,Car,FALSE
Elm Avenue/Rabbit Road,16/06/2024,23:14:26,S,W,Overcast,30,33,Car,FALSE
Hanley Highway/Westway,16/06/2024,23:18:09,SE,SE,Overcast,20,26,Car,FALSE
Hanley Highway/Westway,16/06/2024,23:43:42,SW,SE,Overcast,20,6,Car,FALSE
Hanley Highway/Westway,16/06/2024,23:33:29,SW,SW,Overcast,20,17,Truck,FALSE
